Tanggal,ID Pelanggan,Keluhan,Kontak,Segmentasi_Wilayah,Produk_Terkait,Status_Keluhan,Agen,Waktu_Penyelesaian,Saluran,Waktu_Respon,Persentase_Penyelesaian,ID_Feedback,Tanggal_Feedback,Rating_CSAT,NPS_Score,Komentar
2023/01/02 00:00:00,7287,Pembayaran bermasalah,customer@example.com,Padang,alat makeup,Selesai,Agen 3,6,Chatbot,5,0.981333149,15,10/1/2024,2,2,negatif
2023/01/02 00:00:00,5790,Produk rusak,customer@example.com,Surabaya,skincare,Selesai,Agen 3,5,WhatsApp,3,0.984739384,16,10/21/2024,2,2,negatif
2023/01/02 00:00:00,3013,Produk rusak,customer@example.com,Surabaya,makeup,Selesai,Agen 3,1,WhatsApp,4,0.842208501,17,10/25/2024,5,9,positif
2023/01/02 00:00:00,6371,Pengiriman lambat,customer@example.com,Bandung,bodycare,Belum Ditangani,Agen 3,1,Chatbot,5,0.99558277,18,10/7/2024,3,3,positif
2023/01/02 00:00:00,5137,Pembayaran bermasalah,customer@example.com,Bandung,haircare,Belum Ditangani,Agen 3,6,Email,4,0.940415223,19,10/10/2024,1,1,negatif
2023/01/02 00:00:00,6589,Salah kirim barang,customer@example.com,Padang,alat makeup,Belum Ditangani,Agen 4,3,WhatsApp,4,0.960803831,20,10/19/2024,1,1,negatif
2023/01/03 00:00:00,9641,Salah kirim barang,customer@example.com,Balikpapan,skincare,Belum Ditangani,Agen 1,10,WhatsApp,1,0.827143315,21,10/21/2024,4,7,positif
2023/01/03 00:00:00,5464,Harga tidak sesuai promosi,customer@example.com,Medan,makeup,Belum Ditangani,Agen 3,5,Email,4,0.808855593,22,10/16/2024,5,10,positif
2023/01/03 00:00:00,3418,Komunikasi tidak jelas,customer@example.com,Semarang,bodycare,Belum Ditangani,Agen 3,3,Chatbot,1,0.937979396,23,9/27/2024,2,1,negatif
2023/01/03 00:00:00,1304,Produk tidak sesuai,customer@example.com,Medan,haircare,Selesai,Agen 1,10,Chatbot,3,0.998772332,24,10/19/2024,4,8,positif
2023/01/03 00:00:00,6992,Harga tidak sesuai promosi,customer@example.com,Makassar,alat makeup,Belum Ditangani,Agen 4,3,WhatsApp,3,0.969742474,25,10/21/2024,5,9,positif
2023/01/03 00:00:00,5701,Komunikasi tidak jelas,customer@example.com,Padang,skincare,Selesai,Agen 3,1,Media Sosial,2,0.832274237,26,10/4/2024,2,2,negatif
2023/01/03 00:00:00,9816,Kurir tidak ramah,customer@example.com,Balikpapan,makeup,Belum Ditangani,Agen 5,8,Media Sosial,4,0.846984234,27,10/7/2024,1,2,negatif
2023/01/03 00:00:00,3875,Pembayaran bermasalah,customer@example.com,Semarang,bodycare,Proses,Agen 3,7,Media Sosial,3,0.999357959,28,10/22/2024,3,4,positif
2023/01/03 00:00:00,1005,Layanan pelanggan buruk,customer@example.com,Balikpapan,haircare,Belum Ditangani,Agen 3,7,Email,5,0.863696582,29,10/17/2024,2,1,negatif
2023/01/03 00:00:00,4514,Kurir tidak ramah,customer@example.com,Makassar,alat makeup,Proses,Agen 2,8,Email,3,0.842493309,30,10/10/2024,3,3,positif
2023/01/04 00:00:00,5088,Harga tidak sesuai promosi,customer@example.com,Gorontalo,skincare,Proses,Agen 3,10,Email,1,0.986838897,31,10/1/2024,5,9,positif
2023/01/04 00:00:00,7039,Harga tidak sesuai promosi,customer@example.com,Bandung,makeup,Belum Ditangani,Agen 2,10,Media Sosial,3,0.811277082,32,10/21/2024,5,10,positif
2023/01/04 00:00:00,4364,Pengiriman lambat,customer@example.com,Balikpapan,bodycare,Belum Ditangani,Agen 1,10,Media Sosial,3,0.887809694,33,9/26/2024,5,9,positif
2023/01/04 00:00:00,1453,Komunikasi tidak jelas,customer@example.com,Padang,haircare,Proses,Agen 2,8,Media Sosial,1,0.896397028,34,9/27/2024,1,1,negatif
2023/01/04 00:00:00,9860,Layanan pelanggan buruk,customer@example.com,Surabaya,alat makeup,Belum Ditangani,Agen 4,9,Email,3,0.854151077,35,9/29/2024,4,7,positif
2023/01/04 00:00:00,4841,Pembayaran bermasalah,customer@example.com,Semarang,skincare,Selesai,Agen 4,1,Email,4,0.983119255,36,10/9/2024,3,5,positif
2023/01/04 00:00:00,8163,Produk rusak,customer@example.com,Surabaya,makeup,Belum Ditangani,Agen 5,2,Media Sosial,1,0.941029317,37,10/1/2024,1,2,negatif
2023/01/04 00:00:00,3934,Pengemasan buruk,customer@example.com,Medan,bodycare,Belum Ditangani,Agen 5,1,Chatbot,1,0.99142837,38,10/15/2024,2,1,negatif
2023/01/04 00:00:00,9282,Produk rusak,customer@example.com,Gorontalo,haircare,Selesai,Agen 2,2,Chatbot,5,0.826724497,39,10/4/2024,1,2,negatif
2023/01/04 00:00:00,2666,Kurir tidak ramah,customer@example.com,Balikpapan,alat makeup,Belum Ditangani,Agen 2,1,Chatbot,1,0.874503592,40,10/16/2024,1,2,negatif
2023/01/05 00:00:00,6228,Harga tidak sesuai promosi,customer@example.com,Makassar,skincare,Belum Ditangani,Agen 3,8,Email,3,0.935007199,41,10/11/2024,5,9,positif
2023/01/05 00:00:00,9879,Pengiriman lambat,customer@example.com,Padang,makeup,Belum Ditangani,Agen 1,8,Chatbot,5,0.977799612,42,10/17/2024,1,1,negatif
2023/01/05 00:00:00,7553,Komunikasi tidak jelas,customer@example.com,Semarang,bodycare,Belum Ditangani,Agen 4,9,Email,4,0.873400047,43,10/1/2024,5,10,positif
2023/01/05 00:00:00,6516,Pengiriman lambat,customer@example.com,Balikpapan,haircare,Selesai,Agen 1,8,Media Sosial,3,0.927237316,44,9/29/2024,5,9,positif
2023/01/05 00:00:00,7719,Komunikasi tidak jelas,customer@example.com,Semarang,alat makeup,Proses,Agen 1,3,WhatsApp,5,0.840931133,45,9/26/2024,5,10,positif
2023/01/05 00:00:00,8369,Komunikasi tidak jelas,customer@example.com,Jakarta,skincare,Proses,Agen 4,2,Media Sosial,3,0.896740531,46,10/2/2024,4,7,positif
2023/01/05 00:00:00,1028,Salah kirim barang,customer@example.com,Medan,makeup,Proses,Agen 2,1,WhatsApp,3,0.905985318,47,10/19/2024,1,1,negatif
2023/01/05 00:00:00,5920,Pembayaran bermasalah,customer@example.com,Medan,bodycare,Selesai,Agen 1,3,Media Sosial,3,0.89185648,48,10/23/2024,5,10,positif
2023/01/05 00:00:00,4984,Kurir tidak ramah,customer@example.com,Surabaya,haircare,Proses,Agen 5,10,Email,3,0.958504366,49,10/22/2024,5,9,positif
2023/01/05 00:00:00,2997,Harga tidak sesuai promosi,customer@example.com,Jakarta,alat makeup,Selesai,Agen 4,5,Email,3,0.990573653,50,10/17/2024,2,2,negatif
2023/01/06 00:00:00,9283,Pengemasan buruk,customer@example.com,Gorontalo,skincare,Selesai,Agen 1,4,Email,5,0.828892185,51,10/21/2024,4,7,positif
2023/01/06 00:00:00,9670,Kurir tidak ramah,customer@example.com,Jakarta,makeup,Selesai,Agen 2,7,Email,2,0.972109752,52,10/22/2024,5,9,positif
2023/01/06 00:00:00,2223,Salah kirim barang,customer@example.com,Padang,bodycare,Proses,Agen 5,9,Media Sosial,5,0.898201098,53,10/18/2024,5,9,positif
2023/01/06 00:00:00,2174,Produk rusak,customer@example.com,Balikpapan,haircare,Selesai,Agen 4,7,Email,3,0.862816467,54,10/7/2024,5,9,positif
2023/01/06 00:00:00,1827,Kurir tidak ramah,customer@example.com,Surabaya,alat makeup,Selesai,Agen 5,2,Email,2,0.86556664,55,10/21/2024,4,7,positif
2023/01/06 00:00:00,9658,Produk tidak sesuai,customer@example.com,Makassar,skincare,Proses,Agen 3,3,WhatsApp,4,0.919547765,56,10/1/2024,2,1,negatif
2023/01/06 00:00:00,5792,Pengemasan buruk,customer@example.com,Bandung,makeup,Belum Ditangani,Agen 3,7,Media Sosial,5,0.995851547,57,10/5/2024,4,7,positif
2023/01/06 00:00:00,9566,Produk rusak,customer@example.com,Semarang,bodycare,Belum Ditangani,Agen 4,7,WhatsApp,1,0.943374505,58,10/7/2024,3,3,positif
2023/01/06 00:00:00,6357,Layanan pelanggan buruk,customer@example.com,Balikpapan,haircare,Belum Ditangani,Agen 2,1,Email,3,0.902896052,59,10/7/2024,4,8,positif
2023/01/06 00:00:00,7592,Pengemasan buruk,customer@example.com,Balikpapan,alat makeup,Selesai,Agen 5,5,Email,3,0.969953006,60,10/5/2024,5,9,positif
2023/01/07 00:00:00,4798,Layanan pelanggan buruk,customer@example.com,Padang,skincare,Selesai,Agen 4,4,Media Sosial,1,0.832135702,61,10/15/2024,2,1,negatif
2023/01/07 00:00:00,9019,Harga tidak sesuai promosi,customer@example.com,Makassar,makeup,Selesai,Agen 2,6,WhatsApp,2,0.970278521,62,10/14/2024,1,1,negatif
2023/01/07 00:00:00,7328,Produk rusak,customer@example.com,Jakarta,bodycare,Belum Ditangani,Agen 1,8,Media Sosial,4,0.821212143,63,9/28/2024,5,10,positif
2023/01/07 00:00:00,2079,Pengemasan buruk,customer@example.com,Bandung,haircare,Proses,Agen 2,1,Chatbot,3,0.847628668,64,10/13/2024,3,4,positif
2023/01/07 00:00:00,1452,Produk tidak sesuai,customer@example.com,Bandung,alat makeup,Selesai,Agen 3,4,Email,5,0.850026138,65,10/17/2024,2,2,negatif
2023/01/07 00:00:00,9644,Produk tidak sesuai,customer@example.com,Bandung,skincare,Proses,Agen 2,4,Media Sosial,3,0.890231483,66,9/26/2024,3,4,positif
2023/01/07 00:00:00,7962,Kurir tidak ramah,customer@example.com,Makassar,makeup,Belum Ditangani,Agen 4,2,Media Sosial,2,0.952540017,67,10/13/2024,1,2,negatif
2023/01/07 00:00:00,3132,Pengemasan buruk,customer@example.com,Bandung,bodycare,Selesai,Agen 5,4,Media Sosial,4,0.861513183,68,9/30/2024,3,3,positif
2023/01/07 00:00:00,5159,Pengiriman lambat,customer@example.com,Padang,haircare,Proses,Agen 2,9,Media Sosial,5,0.991907076,69,9/29/2024,5,10,positif
2023/01/07 00:00:00,5281,Salah kirim barang,customer@example.com,Semarang,alat makeup,Belum Ditangani,Agen 5,10,WhatsApp,5,0.818903211,70,9/27/2024,3,4,positif
2023/01/08 00:00:00,4525,Produk tidak sesuai,customer@example.com,Makassar,skincare,Selesai,Agen 1,8,WhatsApp,4,0.814871074,71,10/15/2024,1,1,negatif
2023/01/08 00:00:00,9707,Salah kirim barang,customer@example.com,Medan,makeup,Selesai,Agen 1,10,Chatbot,5,0.859461304,72,9/29/2024,4,7,positif
2023/01/08 00:00:00,1222,Layanan pelanggan buruk,customer@example.com,Surabaya,bodycare,Belum Ditangani,Agen 2,4,Email,1,0.813462807,73,10/21/2024,3,5,positif
2023/01/08 00:00:00,6769,Pengiriman lambat,customer@example.com,Jakarta,haircare,Proses,Agen 5,5,Media Sosial,3,0.953798537,74,10/25/2024,4,7,positif
2023/01/08 00:00:00,7390,Pengiriman lambat,customer@example.com,Bandung,alat makeup,Belum Ditangani,Agen 5,6,Chatbot,3,0.941922842,75,10/25/2024,4,7,positif
2023/01/08 00:00:00,4158,Salah kirim barang,customer@example.com,Makassar,skincare,Selesai,Agen 4,9,Media Sosial,1,0.888350877,76,9/27/2024,5,10,positif
2023/01/08 00:00:00,9429,Layanan pelanggan buruk,customer@example.com,Surabaya,makeup,Selesai,Agen 1,7,Chatbot,2,0.839415955,77,10/18/2024,1,2,negatif
2023/01/08 00:00:00,9595,Komunikasi tidak jelas,customer@example.com,Gorontalo,bodycare,Proses,Agen 5,9,WhatsApp,3,0.983735459,78,9/29/2024,2,2,negatif
2023/01/08 00:00:00,7054,Salah kirim barang,customer@example.com,Surabaya,haircare,Proses,Agen 2,4,Email,3,0.907247305,79,9/28/2024,4,8,positif
2023/01/08 00:00:00,8520,Kurir tidak ramah,customer@example.com,Surabaya,alat makeup,Selesai,Agen 4,5,Media Sosial,2,0.856488438,80,10/8/2024,2,1,negatif
2023/01/09 00:00:00,8225,Pengemasan buruk,customer@example.com,Medan,skincare,Belum Ditangani,Agen 1,4,Media Sosial,5,0.830750971,81,10/10/2024,3,5,positif
2023/01/09 00:00:00,5710,Salah kirim barang,customer@example.com,Surabaya,makeup,Proses,Agen 3,6,WhatsApp,5,0.864414789,82,10/1/2024,4,8,positif
2023/01/09 00:00:00,6604,Kurir tidak ramah,customer@example.com,Jakarta,bodycare,Proses,Agen 2,8,Media Sosial,1,0.840349747,83,9/30/2024,2,2,negatif
2023/01/09 00:00:00,9961,Produk rusak,customer@example.com,Surabaya,haircare,Selesai,Agen 4,8,WhatsApp,2,0.815043687,84,10/15/2024,3,5,positif
2023/01/09 00:00:00,3631,Komunikasi tidak jelas,customer@example.com,Jakarta,alat makeup,Belum Ditangani,Agen 3,5,Chatbot,1,0.923616331,85,9/28/2024,4,7,positif
2023/01/09 00:00:00,7038,Produk rusak,customer@example.com,Makassar,skincare,Proses,Agen 3,3,Chatbot,1,0.911669974,86,10/18/2024,5,9,positif
2023/01/09 00:00:00,9267,Layanan pelanggan buruk,customer@example.com,Medan,makeup,Selesai,Agen 1,4,Chatbot,1,0.927915206,87,10/10/2024,4,7,positif
2023/01/09 00:00:00,3949,Kurir tidak ramah,customer@example.com,Makassar,bodycare,Selesai,Agen 5,2,WhatsApp,5,0.806543422,88,10/20/2024,5,10,positif
2023/01/09 00:00:00,2345,Produk tidak sesuai,customer@example.com,Jakarta,haircare,Belum Ditangani,Agen 2,4,Email,5,0.974821076,89,10/23/2024,3,3,positif
2023/01/09 00:00:00,9081,Produk tidak sesuai,customer@example.com,Medan,alat makeup,Selesai,Agen 2,10,WhatsApp,3,0.803094602,90,10/7/2024,5,10,positif
2023/01/10 00:00:00,9387,Kurir tidak ramah,customer@example.com,Makassar,skincare,Proses,Agen 4,1,WhatsApp,5,0.860597028,91,10/3/2024,3,3,positif
2023/01/10 00:00:00,6026,Layanan pelanggan buruk,customer@example.com,Bandung,makeup,Selesai,Agen 4,4,Media Sosial,1,0.809688939,92,10/9/2024,3,4,positif
2023/01/10 00:00:00,4942,Salah kirim barang,customer@example.com,Semarang,bodycare,Proses,Agen 3,9,Email,1,0.827633921,93,10/22/2024,1,1,negatif
2023/01/10 00:00:00,9421,Pengemasan buruk,customer@example.com,Makassar,haircare,Proses,Agen 3,5,Media Sosial,4,0.956310482,94,10/22/2024,5,9,positif
2023/01/10 00:00:00,5305,Layanan pelanggan buruk,customer@example.com,Medan,alat makeup,Proses,Agen 5,9,Chatbot,2,0.985991577,95,10/4/2024,1,1,negatif
2023/01/10 00:00:00,8425,Pembayaran bermasalah,customer@example.com,Semarang,skincare,Selesai,Agen 3,10,Email,4,0.851867535,96,10/15/2024,4,8,positif
2023/01/10 00:00:00,2154,Pengemasan buruk,customer@example.com,Bandung,makeup,Belum Ditangani,Agen 3,9,Email,1,0.961500781,97,10/5/2024,4,7,positif
2023/01/10 00:00:00,2796,Komunikasi tidak jelas,customer@example.com,Jakarta,bodycare,Proses,Agen 3,5,Email,4,0.800512156,98,10/9/2024,3,3,positif
2023/01/10 00:00:00,4358,Pembayaran bermasalah,customer@example.com,Padang,haircare,Belum Ditangani,Agen 3,1,Email,3,0.923584439,99,9/30/2024,5,10,positif
2023/01/10 00:00:00,1321,Salah kirim barang,customer@example.com,Semarang,alat makeup,Belum Ditangani,Agen 5,7,WhatsApp,4,0.822495329,100,9/29/2024,5,10,positif
2023/01/11 00:00:00,5875,Layanan pelanggan buruk,customer@example.com,Makassar,skincare,Belum Ditangani,Agen 1,3,Email,2,0.978468485,101,9/28/2024,3,4,positif
2023/01/11 00:00:00,7736,Kurir tidak ramah,customer@example.com,Semarang,makeup,Proses,Agen 4,2,Chatbot,2,0.84313124,102,9/30/2024,4,8,positif
2023/01/11 00:00:00,9921,Pengiriman lambat,customer@example.com,Bandung,bodycare,Belum Ditangani,Agen 5,7,Email,1,0.881627145,103,10/16/2024,5,9,positif
2023/01/11 00:00:00,3013,Pembayaran bermasalah,customer@example.com,Padang,haircare,Belum Ditangani,Agen 5,2,WhatsApp,2,0.839097633,104,10/20/2024,5,9,positif
2023/01/11 00:00:00,2890,Produk rusak,customer@example.com,Balikpapan,alat makeup,Belum Ditangani,Agen 2,4,Media Sosial,2,0.941636298,105,10/10/2024,2,2,negatif
2023/01/11 00:00:00,7228,Salah kirim barang,customer@example.com,Jakarta,skincare,Selesai,Agen 1,7,WhatsApp,1,0.948118184,106,10/16/2024,3,4,positif
2023/01/11 00:00:00,5140,Pengemasan buruk,customer@example.com,Medan,makeup,Proses,Agen 5,9,Email,4,0.943062871,107,10/17/2024,5,9,positif
2023/01/11 00:00:00,5759,Pengemasan buruk,customer@example.com,Balikpapan,bodycare,Selesai,Agen 5,4,WhatsApp,2,0.841016927,108,10/14/2024,3,3,positif
2023/01/11 00:00:00,4813,Kurir tidak ramah,customer@example.com,Balikpapan,haircare,Proses,Agen 4,3,Chatbot,5,0.853747296,109,10/12/2024,5,10,positif
2023/01/11 00:00:00,2982,Komunikasi tidak jelas,customer@example.com,Makassar,alat makeup,Belum Ditangani,Agen 2,4,Chatbot,5,0.842240479,110,10/15/2024,4,8,positif
2023/01/12 00:00:00,6204,Salah kirim barang,customer@example.com,Balikpapan,skincare,Selesai,Agen 3,8,Chatbot,5,0.900528829,111,10/19/2024,5,10,positif
2023/01/12 00:00:00,2160,Salah kirim barang,customer@example.com,Surabaya,makeup,Belum Ditangani,Agen 3,7,Email,3,0.951025444,112,10/22/2024,2,2,negatif
2023/01/12 00:00:00,1054,Harga tidak sesuai promosi,customer@example.com,Gorontalo,bodycare,Selesai,Agen 5,4,Email,5,0.980960745,113,10/20/2024,3,5,positif
2023/01/12 00:00:00,2162,Produk rusak,customer@example.com,Bandung,haircare,Proses,Agen 5,8,Media Sosial,4,0.826421716,114,10/2/2024,2,2,negatif
2023/01/12 00:00:00,3709,Kurir tidak ramah,customer@example.com,Makassar,alat makeup,Proses,Agen 2,8,Media Sosial,2,0.836464728,115,10/4/2024,1,1,negatif
2023/01/12 00:00:00,3691,Produk tidak sesuai,customer@example.com,Surabaya,skincare,Selesai,Agen 1,10,Chatbot,4,0.944064192,116,10/20/2024,4,7,positif
2023/01/12 00:00:00,4555,Kurir tidak ramah,customer@example.com,Surabaya,makeup,Proses,Agen 3,6,WhatsApp,1,0.937631885,117,10/24/2024,5,10,positif
2023/01/12 00:00:00,3681,Layanan pelanggan buruk,customer@example.com,Padang,bodycare,Selesai,Agen 4,1,Email,5,0.977568769,118,10/19/2024,4,8,positif
2023/01/12 00:00:00,4606,Pengemasan buruk,customer@example.com,Medan,haircare,Selesai,Agen 2,3,Media Sosial,5,0.918457718,119,10/6/2024,5,10,positif
2023/01/12 00:00:00,9314,Kurir tidak ramah,customer@example.com,Makassar,alat makeup,Belum Ditangani,Agen 5,4,Chatbot,4,0.933203557,120,10/14/2024,3,4,positif
2023/01/13 00:00:00,8137,Kurir tidak ramah,customer@example.com,Semarang,skincare,Proses,Agen 4,9,Chatbot,2,0.988592092,121,10/5/2024,4,7,positif
2023/01/13 00:00:00,4428,Pengemasan buruk,customer@example.com,Padang,makeup,Proses,Agen 3,8,Email,5,0.965015347,122,9/26/2024,5,9,positif
2023/01/13 00:00:00,9198,Komunikasi tidak jelas,customer@example.com,Jakarta,bodycare,Belum Ditangani,Agen 3,7,Chatbot,1,0.868230073,123,10/24/2024,1,1,negatif
2023/01/13 00:00:00,2168,Salah kirim barang,customer@example.com,Padang,haircare,Proses,Agen 1,6,Chatbot,3,0.946882805,124,10/23/2024,3,3,positif
2023/01/13 00:00:00,9462,Salah kirim barang,customer@example.com,Padang,alat makeup,Proses,Agen 4,6,Media Sosial,1,0.911206275,125,10/19/2024,4,8,positif
2023/01/13 00:00:00,1973,Pembayaran bermasalah,customer@example.com,Medan,skincare,Selesai,Agen 1,6,Email,5,0.949433158,126,10/6/2024,4,7,positif
2023/01/13 00:00:00,5912,Pengiriman lambat,customer@example.com,Makassar,makeup,Belum Ditangani,Agen 2,9,Media Sosial,4,0.993188876,127,10/3/2024,3,5,positif
2023/01/13 00:00:00,4435,Pengemasan buruk,customer@example.com,Balikpapan,bodycare,Belum Ditangani,Agen 4,9,Chatbot,1,0.919829004,128,10/24/2024,5,10,positif
2023/01/13 00:00:00,1409,Harga tidak sesuai promosi,customer@example.com,Surabaya,haircare,Belum Ditangani,Agen 3,4,Media Sosial,2,0.881405214,129,10/24/2024,2,2,negatif
2023/01/13 00:00:00,4622,Komunikasi tidak jelas,customer@example.com,Jakarta,alat makeup,Belum Ditangani,Agen 3,8,Chatbot,5,0.841685207,130,10/5/2024,3,3,positif
2023/01/14 00:00:00,3732,Kurir tidak ramah,customer@example.com,Surabaya,skincare,Selesai,Agen 4,10,Media Sosial,3,0.850679103,131,10/14/2024,2,2,negatif
2023/01/14 00:00:00,7332,Produk tidak sesuai,customer@example.com,Bandung,makeup,Selesai,Agen 2,4,Media Sosial,5,0.940338925,132,10/1/2024,5,10,positif
2023/01/14 00:00:00,8236,Pengemasan buruk,customer@example.com,Jakarta,bodycare,Selesai,Agen 2,6,Media Sosial,5,0.883887364,133,10/19/2024,2,1,negatif
2023/01/14 00:00:00,3566,Pengiriman lambat,customer@example.com,Padang,haircare,Proses,Agen 2,4,Chatbot,2,0.913659752,134,10/3/2024,5,10,positif
2023/01/14 00:00:00,5069,Harga tidak sesuai promosi,customer@example.com,Padang,alat makeup,Belum Ditangani,Agen 2,3,Email,3,0.937004247,135,10/16/2024,2,2,negatif
2023/01/14 00:00:00,5537,Layanan pelanggan buruk,customer@example.com,Padang,skincare,Proses,Agen 2,4,Email,1,0.825607705,136,10/19/2024,1,2,negatif
2023/01/14 00:00:00,3302,Harga tidak sesuai promosi,customer@example.com,Surabaya,makeup,Belum Ditangani,Agen 3,5,Email,3,0.818917754,137,10/25/2024,3,5,positif
2023/01/14 00:00:00,4494,Layanan pelanggan buruk,customer@example.com,Makassar,bodycare,Selesai,Agen 1,5,Chatbot,5,0.814756073,138,9/28/2024,5,10,positif
2023/01/14 00:00:00,9287,Harga tidak sesuai promosi,customer@example.com,Balikpapan,haircare,Proses,Agen 2,4,WhatsApp,1,0.907459713,139,10/20/2024,2,1,negatif
2023/01/14 00:00:00,3509,Produk tidak sesuai,customer@example.com,Padang,alat makeup,Selesai,Agen 1,1,Media Sosial,3,0.814946215,140,10/2/2024,3,4,positif
2023/01/15 00:00:00,9635,Salah kirim barang,customer@example.com,Balikpapan,skincare,Belum Ditangani,Agen 4,9,Email,3,0.84600437,141,10/25/2024,4,8,positif
2023/01/15 00:00:00,5742,Pengemasan buruk,customer@example.com,Bandung,makeup,Belum Ditangani,Agen 5,5,Chatbot,3,0.854541045,142,10/24/2024,4,8,positif
2023/01/15 00:00:00,7127,Harga tidak sesuai promosi,customer@example.com,Surabaya,bodycare,Belum Ditangani,Agen 1,7,Chatbot,4,0.862115923,143,10/13/2024,1,2,negatif
2023/01/15 00:00:00,5548,Harga tidak sesuai promosi,customer@example.com,Padang,haircare,Proses,Agen 3,2,Chatbot,1,0.811766062,144,10/17/2024,4,8,positif
2023/01/15 00:00:00,2085,Produk rusak,customer@example.com,Makassar,alat makeup,Selesai,Agen 1,2,Email,2,0.980845312,145,10/12/2024,1,2,negatif
2023/01/15 00:00:00,1201,Salah kirim barang,customer@example.com,Bandung,skincare,Belum Ditangani,Agen 1,2,Chatbot,5,0.947268938,146,10/20/2024,5,10,positif
2023/01/15 00:00:00,8086,Pembayaran bermasalah,customer@example.com,Balikpapan,makeup,Proses,Agen 2,8,Chatbot,1,0.970283265,147,10/7/2024,2,1,negatif
2023/01/15 00:00:00,6714,Harga tidak sesuai promosi,customer@example.com,Makassar,bodycare,Selesai,Agen 3,1,Chatbot,3,0.933394294,148,10/2/2024,3,5,positif
2023/01/15 00:00:00,8115,Layanan pelanggan buruk,customer@example.com,Padang,haircare,Proses,Agen 1,9,Email,3,0.997879546,149,10/13/2024,2,1,negatif
2023/01/15 00:00:00,2631,Kurir tidak ramah,customer@example.com,Padang,alat makeup,Belum Ditangani,Agen 3,3,Media Sosial,5,0.920841022,150,10/9/2024,4,8,positif
2023/01/16 00:00:00,5505,Produk tidak sesuai,customer@example.com,Semarang,skincare,Belum Ditangani,Agen 2,1,Media Sosial,3,0.965684017,151,10/23/2024,3,4,positif
2023/01/16 00:00:00,6572,Produk tidak sesuai,customer@example.com,Makassar,makeup,Proses,Agen 4,9,WhatsApp,3,0.832869402,152,10/6/2024,2,2,negatif
2023/01/16 00:00:00,6427,Pembayaran bermasalah,customer@example.com,Medan,bodycare,Proses,Agen 2,7,WhatsApp,4,0.975190749,153,10/6/2024,4,7,positif
2023/01/16 00:00:00,3416,Salah kirim barang,customer@example.com,Semarang,haircare,Selesai,Agen 4,8,Chatbot,4,0.973534563,154,10/15/2024,5,9,positif
2023/01/16 00:00:00,8881,Produk tidak sesuai,customer@example.com,Jakarta,alat makeup,Belum Ditangani,Agen 5,5,Email,4,0.939435816,155,10/4/2024,2,1,negatif
